성별,연령대,직업,평균쇼핑시간,정보탐색시간,서비스사용_시간단축,선호브랜드유무,브랜드감성_중요도,서비스제공_브랜드선호,리뷰_중요도,리뷰_도움도,실시간리뷰_구매확률,코디정보_탐색빈도,인스타그램_코디도움,코디서비스_만족도,오프라인매장_방문빈도,매장위치_도움도,매장정보_방문증가
남자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,5,예,5,5,5,5,5,5,5,5,3,4,3
여자,20대,학생,30분 이상 ~ 1시간 미만,10분 이상 ~ 30분 미만,5,예,5,5,5,5,5,5,5,5,4,4,3
여자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,5,예,4,4,5,5,4,3,4,4,2,5,4
여자,20대,회사원 (사무직/전문직 등),30분 미만,10분 미만,5,예,5,5,5,5,5,5,5,5,4,5,5
여자,20대,학생,30분 이상 ~ 1시간 미만,1시간 이상 ~ 2시간 미만,4,아니오,4,4,5,5,5,3,4,5,4,4,4
남자,20대,학생,2시간 이상,2시간 이상,4,예,5,4,5,5,5,3,4,4,3,3,2
남자,20대,학생,30분 이상 ~ 1시간 미만,2시간 이상,5,예,5,4,5,4,5,5,5,5,5,5,3
여자,20대,학생,1시간 이상 ~ 2시간 미만,1시간 이상 ~ 2시간 미만,3,예,1,1,5,5,4,5,4,4,5,2,2
여자,20대,학생,30분 이상 ~ 1시간 미만,1시간 이상 ~ 2시간 미만,4,예,4,4,5,4,4,2,4,4,3,4,3
여자,20대,학생,2시간 이상,2시간 이상,4,예,5,5,5,5,5,5,5,5,4,5,4
남자,20대,학생,1시간 이상 ~ 2시간 미만,30분 이상 ~ 1시간 미만,4,아니오,4,4,4,4,4,3,2,4,2,2,3
남자,20대,학생,2시간 이상,10분 이상 ~ 30분 미만,3,예,4,4,5,5,5,1,3,4,5,5,5
남자,20대,백수여,2시간 이상,2시간 이상,1,예,5,5,5,5,5,5,5,5,5,5,5
여자,20대,학생,30분 이상 ~ 1시간 미만,10분 이상 ~ 30분 미만,3,예,4,5,5,3,3,4,5,5,4,4,4
여자,10대,학생,2시간 이상,2시간 이상,3,예,5,4,4,4,3,4,4,4,2,4,4
여자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,4,2,5,5,5,4,2,4,4,5,2
여자,20대,학생,30분 미만,10분 이상 ~ 30분 미만,4,예,4,5,5,5,5,1,3,4,2,2,4
남자,20대,학생,2시간 이상,2시간 이상,3,예,5,5,4,5,4,5,5,5,4,4,4
남자,20대,학생,30분 이상 ~ 1시간 미만,10분 이상 ~ 30분 미만,4,아니오,5,5,5,5,5,5,4,5,3,5,5
남자,20대,학생,30분 이상 ~ 1시간 미만,10분 이상 ~ 30분 미만,3,예,4,4,4,4,4,4,4,4,4,4,4
남자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,4,4,5,4,4,5,5,5,2,3,3
여자,20대,학생,30분 이상 ~ 1시간 미만,2시간 이상,4,아니오,4,5,5,5,3,3,3,3,2,4,3
여자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,4,5,5,5,5,3,4,5,4,4,3
남자,20대,학생,30분 미만,30분 이상 ~ 1시간 미만,4,아니오,3,4,5,4,4,2,3,4,4,3,3
남자,20대,학생,1시간 이상 ~ 2시간 미만,30분 이상 ~ 1시간 미만,5,예,5,5,5,5,4,5,5,5,4,5,3
남자,20대,학생,30분 이상 ~ 1시간 미만,10분 이상 ~ 30분 미만,5,예,5,5,5,5,5,4,4,5,4,5,4
여자,20대,무직,2시간 이상,2시간 이상,5,예,5,5,5,5,5,2,3,4,5,5,5
여자,20대,,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,4,4,5,4,4,2,4,4,4,4,4
여자,20대,,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,아니오,4,4,5,5,4,2,2,3,3,4,4
여자,20대,학생,1시간 이상 ~ 2시간 미만,1시간 이상 ~ 2시간 미만,3,예,3,3,5,5,4,2,3,4,2,4,4
남자,30대,학생,1시간 이상 ~ 2시간 미만,1시간 이상 ~ 2시간 미만,3,아니오,3,3,4,4,4,3,4,3,3,4,4
남자,30대,무직,30분 이상 ~ 1시간 미만,2시간 이상,4,예,4,5,4,5,3,4,2,4,4,5,5
여자,20대,무직,30분 미만,10분 이상 ~ 30분 미만,5,예,2,3,4,4,4,3,5,5,3,4,3
남자,30대,학생,2시간 이상,2시간 이상,2,예,5,3,3,3,3,3,4,5,3,4,3
여자,20대,회사원 (사무직/전문직 등),1시간 이상 ~ 2시간 미만,30분 이상 ~ 1시간 미만,4,예,3,4,5,5,5,5,2,3,2,3,2
여자,20대,회사원 (사무직/전문직 등),30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,4,4,5,4,4,4,4,3,3,3,2
여자,20대,학생,2시간 이상,2시간 이상,5,예,5,5,5,5,5,4,5,5,4,3,2
남자,20대,학생,2시간 이상,2시간 이상,4,예,5,5,5,5,3,5,4,3,4,5,3
여자,20대,학생,30분 미만,10분 이상 ~ 30분 미만,3,예,3,4,5,5,5,2,3,4,3,4,4
여자,20대,학생,1시간 이상 ~ 2시간 미만,30분 이상 ~ 1시간 미만,4,예,5,5,5,5,5,4,5,5,4,5,4
여자,20대,학생,1시간 이상 ~ 2시간 미만,1시간 이상 ~ 2시간 미만,4,예,4,4,5,5,5,4,3,4,5,5,4
여자,20대,학생,1시간 이상 ~ 2시간 미만,10분 이상 ~ 30분 미만,4,예,4,3,5,4,3,2,4,4,2,3,3
여자,20대,학생,30분 이상 ~ 1시간 미만,10분 이상 ~ 30분 미만,4,예,4,5,5,5,4,2,3,4,4,2,2
여자,20대,학생,2시간 이상,2시간 이상,5,예,2,1,5,5,5,5,3,3,3,3,3
남자,20대,학생,30분 이상 ~ 1시간 미만,1시간 이상 ~ 2시간 미만,4,예,5,4,5,5,4,5,5,4,2,3,4
남자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,2,4,5,5,5,5,5,5,2,3,3
여자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,5,예,5,5,5,5,5,5,5,5,4,3,3
여자,20대,학생,2시간 이상,2시간 이상,5,예,5,5,5,4,5,2,3,3,4,2,3
여자,10대,학생,30분 이상 ~ 1시간 미만,1시간 이상 ~ 2시간 미만,4,예,5,5,5,4,3,2,5,5,3,2,4
여자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,2,예,4,3,4,5,4,3,4,4,3,3,2
여자,20대,학생,2시간 이상,10분 이상 ~ 30분 미만,4,예,5,5,5,5,4,4,5,5,3,2,2
여자,20대,학생,30분 이상 ~ 1시간 미만,30분 이상 ~ 1시간 미만,4,예,5,4,3,4,3,4,3,3,2,2,2
